EmpID,Age,AgeGroup,Gender,Department,JobRole,MonthlyIncome,YearsAtCompany,JobSatisfaction,WorkLifeBalance,PerformanceRating,OverTime,Attrition
RM135,26,26-35,Female,"Human Resources","Human Resources",2942,8,3,3,4,No,No
RM279,26,26-35,Female,"Research & Development","Manufacturing Director",6397,6,2,1,4,No,No
RM285,26,26-35,Male,"Research & Development","Healthcare Representative",4741,5,1,3,3,Yes,No
RM289,26,26-35,Male,"Research & Development","Laboratory Technician",2373,3,2,3,3,Yes,Yes
RM294,26,26-35,Male,Sales,"Sales Executive",5828,8,4,3,3,Yes,Yes
RM356,26,26-35,Male,Sales,"Sales Executive",5296,8,3,3,3,No,No
RM383,26,26-35,Male,"Research & Development","Research Scientist",3102,6,1,3,4,No,Yes
RM419,26,26-35,Female,"Research & Development","Research Scientist",2886,3,4,1,4,No,No
RM454,26,26-35,Female,"Human Resources","Human Resources",2741,7,3,2,3,Yes,Yes
RM461,26,26-35,Male,Sales,"Sales Executive",4306,0,3,3,3,No,No
RM464,26,26-35,Male,"Research & Development","Laboratory Technician",2340,1,4,1,3,Yes,Yes
RM476,26,26-35,Male,Sales,"Sales Executive",6272,5,2,4,4,No,No
RM506,26,26-35,Female,"Research & Development","Laboratory Technician",2659,3,4,3,3,Yes,No
RM572,26,26-35,Female,"Research & Development","Laboratory Technician",4364,2,4,3,3,No,No
RM574,26,26-35,Male,Sales,"Sales Executive",5326,4,1,2,3,No,Yes
RM615,26,26-35,Female,"Research & Development","Research Scientist",2366,8,3,3,3,Yes,Yes
RM686,26,26-35,Male,Sales,"Sales Executive",4294,7,1,3,3,No,No
RM734,26,26-35,Male,"Research & Development","Manufacturing Director",5472,8,4,3,3,No,No
RM749,26,26-35,Male,Sales,"Sales Executive",4969,2,1,3,3,No,Yes
RM763,26,26-35,Male,"Research & Development","Research Scientist",2042,3,1,3,3,Yes,Yes
RM770,26,26-35,Female,"Research & Development","Research Scientist",2007,5,3,3,3,No,No
RM782,26,26-35,Male,"Research & Development","Laboratory Technician",3955,5,1,3,3,No,No
RM798,26,26-35,Male,"Research & Development","Laboratory Technician",2377,1,3,2,4,No,Yes
RM844,26,26-35,Male,"Research & Development","Laboratory Technician",4420,8,4,3,4,No,No
RM913,26,26-35,Male,"Research & Development","Research Scientist",2875,8,4,2,4,Yes,No
RM999,26,26-35,Male,"Research & Development","Research Scientist",3904,4,4,3,3,No,No
RM1005,26,26-35,Male,"Research & Development","Laboratory Technician",3578,7,1,3,3,No,No
RM1119,26,26-35,Female,"Research & Development","Research Scientist",2061,1,4,3,4,No,No
RM1207,26,26-35,Male,"Research & Development","Laboratory Technician",2570,7,4,3,4,No,No
RM1225,26,26-35,Male,"Research & Development","Laboratory Technician",2305,3,3,4,3,No,No
RM1298,26,26-35,Female,"Human Resources","Human Resources",2148,5,2,3,3,Yes,Yes
RM1310,26,26-35,Male,Sales,"Sales Executive",4684,5,4,3,3,No,No
RM1350,26,26-35,Female,"Research & Development","Research Scientist",2933,1,3,2,3,Yes,No
RM1362,26,26-35,Male,"Research & Development","Laboratory Technician",2544,7,4,3,3,No,No
RM1387,26,26-35,Male,"Research & Development","Laboratory Technician",2867,7,1,2,3,No,No
RM1465,26,26-35,Female,Sales,"Sales Representative",2966,4,3,3,3,No,No
RM1465,26,26-35,Female,Sales,"Sales Representative",2966,4,3,3,3,No,No
RM005,27,26-35,Male,"Research & Development","Laboratory Technician",3468,2,2,3,3,No,No
RM042,27,26-35,Female,"Research & Development","Laboratory Technician",2341,1,1,3,3,No,No
RM044,27,26-35,Male,Sales,"Sales Executive",8726,9,3,3,3,No,No
RM162,27,26-35,Male,"Research & Development","Research Scientist",2024,2,2,1,3,No,No
RM165,27,26-35,Male,"Research & Development","Research Scientist",2566,1,3,2,3,Yes,No
RM171,27,26-35,Male,"Research & Development","Research Scientist",3058,5,2,2,3,Yes,No
RM192,27,26-35,Female,"Research & Development","Research Scientist",2279,7,2,2,3,No,No
RM201,27,26-35,Male,"Research & Development","Manufacturing Director",4298,2,1,3,3,No,No
RM213,27,26-35,Female,Sales,"Sales Executive",9981,7,3,3,3,No,No
RM319,27,26-35,Female,"Research & Development","Research Scientist",2478,4,2,2,3,Yes,No
RM321,27,26-35,Male,Sales,"Sales Executive",4478,5,3,3,3,Yes,No
RM332,27,26-35,Male,Sales,"Sales Executive",6349,5,2,3,3,Yes,No
RM340,27,26-35,Female,Sales,"Sales Executive",6214,8,2,3,3,No,No
RM374,27,26-35,Male,"Research & Development","Laboratory Technician",3816,5,2,3,3,No,No
RM486,27,26-35,Female,"Research & Development","Research Scientist",2187,5,3,2,3,No,No
RM496,27,26-35,Male,Sales,"Sales Representative",3041,4,1,3,3,No,Yes
RM513,27,26-35,Male,"Research & Development","Research Scientist",2045,4,4,3,3,No,No
RM522,27,26-35,Female,Sales,"Sales Executive",4647,6,4,3,4,Yes,No
RM531,27,26-35,Female,"Research & Development","Manufacturing Director",7412,9,1,3,3,No,No
RM538,27,26-35,Male,"Research & Development","Manufacturing Director",8793,9,1,2,4,No,No
RM555,27,26-35,Female,"Research & Development","Healthcare Representative",6811,7,1,1,3,No,No
RM577,27,26-35,Male,Sales,"Sales Executive",4342,4,4,3,3,No,No
RM611,27,26-35,Male,"Research & Development","Research Director",12808,9,4,3,3,Yes,No
RM616,27,26-35,Male,"Research & Development","Research Scientist",1706,0,4,2,3,No,No
RM671,27,26-35,Female,"Research & Development","Research Scientist",2318,1,3,3,3,No,No
RM718,27,26-35,Female,"Research & Development","Laboratory Technician",2811,2,2,3,3,No,No
RM740,27,26-35,Female,"Research & Development","Manufacturing Director",4227,3,4,3,3,No,No
RM787,27,26-35,Male,"Research & Development","Laboratory Technician",4621,3,3,3,3,No,No
RM834,27,26-35,Male,"Research & Development","Research Scientist",2539,4,3,3,3,No,No
RM890,27,26-35,Male,"Research & Development","Research Scientist",2235,9,1,2,3,Yes,No
RM903,27,26-35,Male,"Research & Development","Research Scientist",2517,5,3,3,3,No,No
RM971,27,26-35,Female,Sales,"Sales Representative",2534,1,4,3,3,No,No
RM975,27,26-35,Male,Sales,"Sales Executive",5071,6,4,3,4,No,No
RM997,27,26-35,Female,Sales,"Sales Executive",5769,6,4,3,3,Yes,No
RM998,27,26-35,Female,"Research & Development","Research Scientist",2394,8,3,3,3,Yes,Yes
RM1018,27,26-35,Male,"Research & Development","Laboratory Technician",2099,5,1,4,3,No,No
RM1150,27,26-35,Male,"Research & Development","Laboratory Technician",4066,7,1,3,3,No,No
RM1170,27,26-35,Female,"Research & Development","Research Scientist",3517,3,3,3,3,No,No
RM1171,27,26-35,Male,"Research & Development","Research Scientist",2580,4,4,2,3,No,No
RM1249,27,26-35,Female,"Research & Development","Research Scientist",3445,6,4,2,3,No,No
RM1318,27,26-35,Female,"Research & Development","Laboratory Technician",2379,5,4,2,3,Yes,No
RM1329,27,26-35,Female,Sales,"Sales Representative",3540,9,3,3,4,No,No
RM1335,27,26-35,Female,"Research & Development","Research Scientist",4774,7,1,2,3,No,No
RM1351,27,26-35,Female,Sales,"Sales Executive",6500,8,3,2,3,No,No
RM1368,27,26-35,Male,"Research & Development","Research Scientist",2226,5,2,2,3,No,No
RM1380,27,26-35,Female,"Human Resources","Human Resources",2863,1,2,3,3,No,Yes
RM1394,27,26-35,Male,Sales,"Sales Executive",4105,7,4,3,3,No,No
RM1468,27,26-35,Male,"Research & Development","Manufacturing Director",6142,6,2,3,4,Yes,No
RM1468,27,26-35,Male,"Research & Development","Manufacturing Director",6142,6,2,3,4,Yes,No
RM015,28,26-35,Male,"Research & Development","Laboratory Technician",2028,4,3,3,3,Yes,Yes
RM052,28,26-35,Male,"Research & Development","Laboratory Technician",3441,2,3,2,3,Yes,Yes
RM098,28,26-35,Male,Sales,"Sales Executive",4221,5,3,4,3,No,No
RM163,28,26-35,Male,"Research & Development","Research Scientist",2713,5,4,1,3,No,No
RM265,28,26-35,Male,"Research & Development","Laboratory Technician",3485,0,3,1,3,No,Yes
RM273,28,26-35,Male,"Research & Development","Research Scientist",2070,5,4,2,4,No,No
RM290,28,26-35,Female,"Research & Development","Research Scientist",3310,5,4,3,4,No,No
RM303,28,26-35,Male,"Research & Development","Healthcare Representative",5661,8,1,3,3,No,No
RM324,28,26-35,Male,"Research & Development","Research Scientist",3464,3,4,2,3,Yes,Yes
RM375,28,26-35,Male,Sales,"Sales Executive",5253,7,4,3,3,No,No
RM541,28,26-35,Female,"Research & Development","Research Scientist",2216,7,2,3,3,Yes,Yes
RM599,28,26-35,Male,"Research & Development","Research Scientist",4382,2,3,2,3,No,Yes
RM613,28,26-35,Female,Sales,"Sales Executive",4779,8,2,3,4,Yes,No
RM630,28,26-35,Male,"Human Resources","Human Resources",4936,5,4,3,3,No,No
RM660,28,26-35,Male,Sales,"Sales Executive",4908,4,4,3,3,No,No
RM669,28,26-35,Female,"Research & Development","Research Scientist",2377,2,3,3,3,No,No
RM765,28,26-35,Male,Sales,"Sales Representative",1052,1,2,3,4,No,No
RM781,28,26-35,Male,"Research & Development","Healthcare Representative",8722,10,1,2,3,No,Yes
RM789,28,26-35,Female,"Research & Development","Research Scientist",3660,8,3,4,3,No,No
RM794,28,26-35,Male,"Research & Development","Laboratory Technician",2207,4,3,2,3,No,No
RM801,28,26-35,Male,"Research & Development","Laboratory Technician",2596,1,2,3,3,No,Yes
RM810,28,26-35,Female,"Research & Development","Manufacturing Director",7655,9,2,2,3,No,No
RM820,28,26-35,Male,"Research & Development","Research Scientist",3201,5,2,1,3,No,No
RM828,28,26-35,Male,"Research & Development","Research Scientist",2703,3,3,3,3,Yes,No
RM843,28,26-35,Female,"Research & Development","Laboratory Technician",2515,1,4,2,3,Yes,Yes
RM869,28,26-35,Male,"Research & Development","Laboratory Technician",3196,6,1,3,3,No,No
RM922,28,26-35,Male,"Research & Development","Laboratory Technician",2154,4,3,2,3,Yes,No
RM930,28,26-35,Male,"Research & Development","Laboratory Technician",3867,2,4,3,3,Yes,No
RM934,28,26-35,Male,"Research & Development","Research Scientist",2080,3,1,2,3,No,No
RM945,28,26-35,Female,"Research & Development","Laboratory Technician",6674,9,4,3,3,No,No
RM985,28,26-35,Male,Sales,"Sales Executive",4724,5,1,3,3,No,No
RM1042,28,26-35,Male,Sales,"Sales Executive",8463,5,1,3,3,No,No
RM1057,28,26-35,Male,Sales,"Sales Representative",2909,3,3,4,3,No,Yes
RM1069,28,26-35,Male,"Research & Development","Laboratory Technician",2561,0,1,2,3,No,Yes
RM1070,28,26-35,Male,"Research & Development","Research Scientist",1563,1,3,1,3,No,No
RM1071,28,26-35,Male,Sales,"Sales Executive",4898,4,1,3,3,No,No
RM1074,28,26-35,Male,"Research & Development","Manufacturing Director",6549,8,2,2,3,No,No
RM1137,28,26-35,Male,"Research & Development","Laboratory Technician",2408,1,2,3,3,Yes,Yes
RM1152,28,26-35,Female,"Research & Development","Manufacturing Director",4877,5,1,2,4,No,No
RM1284,28,26-35,Male,"Research & Development","Research Scientist",2044,5,4,4,3,No,No
RM1308,28,26-35,Female,"Research & Development","Research Scientist",3591,3,1,3,4,No,No
RM1324,28,26-35,Male,"Human Resources","Human Resources",2706,3,4,3,3,No,No
RM1338,28,26-35,Female,Sales,"Sales Representative",2856,1,2,3,3,No,No
RM1365,28,26-35,Male,Sales,"Sales Executive",6834,7,4,3,3,Yes,No
RM1370,28,26-35,Female,Sales,"Sales Executive",9854,2,3,3,3,Yes,Yes
RM1382,28,26-35,Male,"Research & Development","Research Scientist",2144,5,3,2,3,No,No
RM1391,28,26-35,Male,"Research & Development","Laboratory Technician",2367,4,4,2,3,No,Yes
RM012,29,26-35,Female,"Research & Development","Laboratory Technician",4193,9,3,3,3,Yes,No
RM016,29,26-35,Female,"Research & Development","Manufacturing Director",9980,10,1,3,3,No,No
RM156,29,26-35,Male,"Research & Development","Manufacturing Director",4319,10,3,3,3,No,No
RM218,29,26-35,Male,"Research & Development","Research Scientist",2058,6,3,2,3,No,Yes
RM228,29,26-35,Female,Sales,"Sales Executive",7918,11,4,3,3,No,No
RM230,29,26-35,Male,"Research & Development","Research Scientist",2389,4,4,2,3,Yes,Yes
RM266,29,26-35,Male,Sales,"Sales Executive",6644,0,2,3,3,No,No
RM283,29,26-35,Male,Sales,"Sales Executive",4554,10,4,2,3,No,No
RM337,29,26-35,Male,"Research & Development","Laboratory Technician",2119,7,1,2,3,Yes,Yes
RM338,29,26-35,Male,"Research & Development","Laboratory Technician",3983,3,4,3,3,No,No
RM344,29,26-35,Female,Sales,"Sales Executive",8268,7,2,3,3,Yes,No
RM350,29,26-35,Male,Sales,"Sales Executive",4649,4,3,2,3,No,No
RM372,29,26-35,Male,"Research & Development","Research Scientist",2201,3,4,3,3,No,No
RM421,29,26-35,Male,"Research & Development","Research Director",11935,10,3,3,3,No,No
RM422,29,26-35,Female,"Research & Development","Research Scientist",2546,2,2,4,3,No,Yes
RM455,29,26-35,Male,"Research & Development","Manufacturing Director",4262,3,4,4,3,No,No
RM508,29,26-35,Female,Sales,"Sales Executive",5561,6,3,2,3,No,No
RM520,29,26-35,Male,"Research & Development","Research Scientist",2720,10,4,3,3,No,No
RM547,29,26-35,Male,Sales,"Sales Representative",2642,1,3,3,3,No,No
RM556,29,26-35,Male,Sales,"Sales Representative",2297,2,2,3,3,No,No
RM573,29,26-35,Female,"Research & Development","Healthcare Representative",4335,8,3,2,3,No,No
RM590,29,26-35,Female,"Research & Development","Laboratory Technician",2319,1,1,3,3,Yes,Yes
RM595,29,26-35,Male,"Research & Development","Research Scientist",2700,10,3,3,4,No,No
RM646,29,26-35,Female,Sales,"Sales Representative",2800,3,3,3,3,Yes,Yes
RM658,29,26-35,Female,"Research & Development","Laboratory Technician",2532,4,4,3,3,No,No
RM698,29,26-35,Female,Sales,"Sales Representative",2157,3,4,3,3,No,No
RM712,29,26-35,Female,"Research & Development","Research Scientist",2404,0,1,3,4,Yes,Yes
RM809,29,26-35,Female,"Research & Development","Research Scientist",2514,7,4,3,4,No,No
RM824,29,26-35,Female,"Research & Development","Research Scientist",3291,7,2,2,3,No,No
RM826,29,26-35,Male,"Research & Development","Manufacturing Director",5056,10,4,2,3,Yes,No
RM837,29,26-35,Female,Sales,"Sales Executive",7336,11,1,1,3,No,Yes
RM853,29,26-35,Female,"Research & Development","Laboratory Technician",3131,10,4,3,3,No,No
RM860,29,26-35,Female,"Research & Development","Research Scientist",2168,5,4,2,3,Yes,No
RM894,29,26-35,Female,"Research & Development","Research Scientist",3760,3,4,3,3,No,No
RM904,29,26-35,Male,"Research & Development","Healthcare Representative",6623,6,4,3,3,Yes,No
RM906,29,26-35,Female,"Research & Development","Research Director",16124,7,4,2,3,No,No
RM933,29,26-35,Female,"Research & Development","Laboratory Technician",3339,7,3,3,3,Yes,Yes
RM1006,29,26-35,Male,"Human Resources","Human Resources",7988,10,1,2,3,No,No
RM1008,29,26-35,Female,"Research & Development","Healthcare Representative",7553,8,4,3,3,Yes,Yes
RM1058,29,26-35,Female,Sales,"Sales Executive",5765,5,2,1,3,No,Yes
RM1064,29,26-35,Male,Sales,"Sales Executive",8620,10,3,3,3,No,No
RM1073,29,26-35,Female,"Research & Development","Laboratory Technician",3180,3,2,3,3,No,No
RM1078,29,26-35,Male,"Research & Development","Research Scientist",2362,9,1,1,3,No,Yes
RM1091,29,26-35,Female,"Research & Development","Healthcare Representative",9715,7,1,3,3,No,No
RM1105,29,26-35,Male,"Research & Development","Research Scientist",2451,1,3,2,3,No,No
RM1123,29,26-35,Male,"Research & Development","Laboratory Technician",4723,10,1,3,3,Yes,No
RM1126,29,26-35,Male,"Research & Development","Healthcare Representative",8853,6,4,4,3,No,No
RM1173,29,26-35,Male,Sales,"Sales Executive",5869,5,3,3,3,No,No
RM1189,29,26-35,Male,Sales,"Sales Executive",4187,10,2,2,3,Yes,No
RM1220,29,26-35,Female,"Research & Development","Laboratory Technician",2974,5,3,3,3,No,No
RM1250,29,26-35,Female,Sales,"Sales Representative",2760,2,2,3,3,No,Yes
RM1251,29,26-35,Male,"Research & Development","Healthcare Representative",6294,3,3,4,3,Yes,No
RM1259,29,26-35,Female,"Research & Development","Research Scientist",2109,1,1,3,3,No,No
RM1314,29,26-35,Male,"Human Resources","Human Resources",2335,2,1,3,3,Yes,Yes
RM1319,29,26-35,Male,"Research & Development","Laboratory Technician",3812,11,4,4,3,No,No
RM1325,29,26-35,Male,"Research & Development","Healthcare Representative",6384,7,3,3,3,No,No
RM1330,29,26-35,Male,"Human Resources","Human Resources",2804,1,2,3,3,No,No
RM1333,29,26-35,Male,"Research & Development","Research Scientist",2439,1,4,2,4,Yes,Yes
RM1344,29,26-35,Male,"Research & Development","Laboratory Technician",2062,3,1,3,3,No,No
RM1366,29,26-35,Male,Sales,"Sales Representative",1091,1,1,3,3,No,Yes
RM1388,29,26-35,Male,"Research & Development","Healthcare Representative",5373,5,1,2,3,No,No
RM1443,29,26-35,Male,"Research & Development","Research Scientist",4787,2,4,4,3,Yes,Yes
RM1460,29,26-35,Male,"Research & Development","Laboratory Technician",4025,4,2,3,3,Yes,No
RM1461,29,26-35,Female,"Research & Development","Research Scientist",3785,5,1,1,3,No,No
